Number,MSE
0,0.476230
1,0.474982
2,0.473577
3,0.471981
4,0.470149
5,0.468020
6,0.465509
7,0.462493
8,0.458785
9,0.454107
10,0.448110
11,0.440728
12,0.432932
13,0.425966
14,0.420039
15,0.414960
16,0.410539
17,0.406636
18,0.403146
19,0.399988
20,0.397104
21,0.394446
22,0.391978
23,0.389672
24,0.387504
25,0.385456
26,0.383514
27,0.381664
28,0.379899
29,0.378208
30,0.376584
31,0.375023
32,0.373519
33,0.372067
34,0.370663
35,0.369304
36,0.367987
37,0.366710
38,0.365469
39,0.364262
40,0.363089
41,0.361946
42,0.360833
43,0.359747
44,0.358687
45,0.357653
46,0.356643
47,0.355655
48,0.354689
49,0.353744
50,0.352819
51,0.351913
52,0.351026
53,0.350157
54,0.349305
55,0.348469
56,0.347649
57,0.346844
58,0.346055
59,0.345280
60,0.344518
61,0.343770
62,0.343035
63,0.342313
64,0.341603
65,0.340905
66,0.340218
67,0.339543
68,0.338878
69,0.338224
70,0.337580
71,0.336947
72,0.336323
73,0.335709
74,0.335104
75,0.334508
76,0.333921
77,0.333342
78,0.332772
79,0.332210
80,0.331656
81,0.331110
82,0.330571
83,0.330040
84,0.329517
85,0.329000
86,0.328490
87,0.327987
88,0.327491
89,0.327002
90,0.326518
91,0.326041
92,0.325570
93,0.325106
94,0.324646
95,0.324193
96,0.323746
97,0.323303
98,0.322867
99,0.322435
100,0.322009
101,0.321588
102,0.321172
103,0.320761
104,0.320355
105,0.319953
106,0.319556
107,0.319164
108,0.318776
109,0.318393
110,0.318013
111,0.317638
112,0.317268
113,0.316901
114,0.316539
115,0.316180
116,0.315825
117,0.315474
118,0.315127
119,0.314784
120,0.314444
121,0.314107
122,0.313775
123,0.313445
124,0.313120
125,0.312797
126,0.312478
127,0.312162
128,0.311849
129,0.311539
130,0.311233
131,0.310929
132,0.310629
133,0.310331
134,0.310036
135,0.309745
136,0.309455
137,0.309169
138,0.308886
139,0.308605
140,0.308327
141,0.308051
142,0.307778
143,0.307508
144,0.307240
145,0.306974
146,0.306711
147,0.306451
148,0.306192
149,0.305936
150,0.305683
151,0.305431
152,0.305182
153,0.304935
154,0.304690
155,0.304448
156,0.304207
157,0.303969
158,0.303732
159,0.303498
160,0.303266
161,0.303035
162,0.302807
163,0.302580
164,0.302356
165,0.302133
166,0.301912
167,0.301693
168,0.301476
169,0.301261
170,0.301047
171,0.300835
172,0.300625
173,0.300416
174,0.300209
175,0.300004
176,0.299800
177,0.299598
178,0.299398
179,0.299199
180,0.299002
181,0.298806
182,0.298612
183,0.298419
184,0.298228
185,0.298038
186,0.297850
187,0.297663
188,0.297478
189,0.297294
190,0.297111
191,0.296930
192,0.296750
193,0.296571
194,0.296394
195,0.296218
196,0.296043
197,0.295870
198,0.295697
199,0.295527
200,0.295357
201,0.295188
202,0.295021
203,0.294855
204,0.294690
205,0.294526
206,0.294364
207,0.294202
208,0.294042
209,0.293883
210,0.293725
211,0.293568
